Date,Price
2018-11-19,1006.95
2018-11-20,1006.23
2018-11-21,1009.38
2018-11-22,1002.75
2018-11-26,1024.9
2018-11-27,1032
2018-11-28,1044.63
2018-11-29,1065.53
2018-11-30,1064.23
2018-12-3,1056.65
2018-12-4,1042.78
2018-12-5,1049.6
2018-12-6,1048.53
2018-12-7,1053.8
2018-12-10,1044.38
2018-12-11,1029.78
2018-12-12,1042.65
2018-12-13,1050.65
2018-12-14,1047.85
2018-12-17,1065.1
2018-12-18,1067.73
2018-12-19,1061.73
2018-12-20,1068.73
2018-12-21,1055.58
2018-12-24,1040.33
2018-12-26,1061.18
2018-12-27,1052.53
2018-12-28,1061.45
2018-12-31,1060.85
2019-1-1,1074.05
2019-1-2,1064.25
2019-1-3,1055.9
2019-1-4,1058.73
2019-1-7,1060.33
2019-1-8,1051.5
2019-1-9,1058.4
2019-1-10,1054.25
2019-1-11,1055.95
2019-1-14,1050.83
2019-1-15,1060.95
2019-1-16,1060.1
2019-1-17,1066.15
2019-1-18,1065.13
2019-1-21,1074.08
2019-1-22,1067.93
2019-1-23,1052.7
2019-1-24,1051.13
2019-1-25,1048
2019-1-28,1042.08
2019-1-29,1028.8
2019-1-30,1017.35
2019-1-31,1039.98
2019-2-1,1045.23
2019-2-4,1052.45
2019-2-5,1057.03
2019-2-6,1061.33
2019-2-7,1058.63
2019-2-8,1061.33
2019-2-11,1069.83
2019-2-12,1064.85
2019-2-13,1071.73
2019-2-14,1055.1
2019-2-15,1050.33
2019-2-18,1044.95
2019-2-19,1042.03
2019-2-20,1054.18
2019-2-21,1057.95
2019-2-22,1045.73
2019-2-25,1062.7
2019-2-26,1055.33
2019-2-27,1046.13
2019-2-28,1038.78
2019-3-1,1041.68
2019-3-5,1053.55
2019-3-6,1052.13
2019-3-7,1063.25
2019-3-8,1064.1
2019-3-11,1064.23
2019-3-12,1085.5
2019-3-13,1113.28
2019-3-14,1112.38
2019-3-15,1126.5
2019-3-18,1130.73
2019-3-19,1133.88
2019-3-20,1149.5
2019-3-22,1138.08
2019-3-25,1140.65
2019-3-26,1155.68
2019-3-27,1149.73
2019-3-28,1151.4
2019-3-29,1159.45
2019-4-1,1155.9
2019-4-2,1147.43
2019-4-3,1146.38
2019-4-4,1141.98
2019-4-5,1152.8
2019-4-8,1144.7
2019-4-9,1143.63
2019-4-10,1118.68
2019-4-11,1128.75
2019-4-12,1132.63
2019-4-15,1144.4
2019-4-16,1152.53
2019-4-18,1146.83
2019-4-22,1134.35
2019-4-23,1122.65
2019-4-24,1139.88
2019-4-25,1131.73
2019-4-26,1140.48
2019-4-30,1158.73
2019-5-2,1177.9
2019-5-3,1183.98
2019-5-6,1164.23
2019-5-7,1161.18
2019-5-8,1153.63
2019-5-9,1145.45
2019-5-10,1148.25
2019-5-13,1143.6
2019-5-14,1143.95
2019-5-15,1143.35
2019-5-16,1155.33
2019-5-17,1181.05
2019-5-20,1216.18
2019-5-21,1201.85
2019-5-22,1202.88
2019-5-23,1166.05
2019-5-24,1186.68
2019-5-27,1204.18
2019-5-28,1208.1
2019-5-29,1208.45
2019-5-30,1219.78
2019-5-31,1212.68
2019-6-3,1228.55
2019-6-4,1226.15
2019-6-6,1211.68
2019-6-7,1223.83
2019-6-10,1220.1
2019-6-11,1224.2
2019-6-12,1213.53
2019-6-13,1222.35
2019-6-14,1217.55
2019-6-17,1211
2019-6-18,1208.63
2019-6-19,1214.18
2019-6-20,1213.18
2019-6-21,1207.1
2019-6-24,1208.98
2019-6-25,1214.35
2019-6-26,1233.95
2019-6-27,1231.15
2019-6-28,1221.88
2019-7-1,1242.78
2019-7-2,1247.5
2019-7-3,1244.83
2019-7-4,1241.9
2019-7-5,1236.2
2019-7-8,1204.8
2019-7-9,1189.58
2019-7-10,1194.38
2019-7-11,1203.58
2019-7-12,1196.95
2019-7-15,1197.38
2019-7-16,1195.6
2019-7-17,1198.73
2019-7-18,1205.95
2019-7-19,1187.83
2019-7-22,1148.63
2019-7-23,1131.75
2019-7-24,1140.45
2019-7-25,1143.03
2019-7-26,1138.65
2019-7-29,1122.15
2019-7-30,1126.13
2019-7-31,1125.83
2019-8-1,1110.9
2019-8-2,1107.18
2019-8-5,1089.63
2019-8-6,1094.55
2019-8-7,1092
2019-8-8,1116.58
2019-8-9,1141
2019-8-13,1110.18
2019-8-14,1114.73
2019-8-16,1113.85
2019-8-19,1103.43
2019-8-20,1110.3
2019-8-21,1112.93
2019-8-22,1087.05
2019-8-23,1081.35
2019-8-26,1128.08
2019-8-27,1129.98
2019-8-28,1123.75
2019-8-29,1113.48
2019-8-30,1113.98
2019-9-3,1105.48
2019-9-4,1123.88
2019-9-5,1117.58
2019-9-6,1122.95
2019-9-9,1124.8
2019-9-11,1125.65
2019-9-12,1135.43
2019-9-13,1128.73
2019-9-16,1122.08
2019-9-17,1105.68
2019-9-18,1093.88
2019-9-19,1101.05
2019-9-20,1199.6
2019-9-23,1257.25
2019-9-24,1253.8
2019-9-25,1239.7
2019-9-26,1242.5
2019-9-27,1244.2
2019-9-30,1227.45
2019-10-1,1248.8
2019-10-3,1223.55
2019-10-4,1189.7
2019-10-7,1186.9
2019-10-9,1228.15
2019-10-10,1200.55
2019-10-11,1198.8
2019-10-14,1204.4
2019-10-15,1223.05
2019-10-16,1221.1
2019-10-17,1220
2019-10-18,1229
2019-10-22,1239.3
2019-10-23,1241.6
2019-10-24,1236.1
2019-10-25,1229
2019-10-27,1237.7
2019-10-29,1242.5
2019-10-30,1248.35
2019-10-31,1230.35
2019-11-1,1240.05
2019-11-4,1236.85
2019-11-5,1239.5
2019-11-6,1256.65
2019-11-7,1263.7
2019-11-8,1255.6
2019-11-11,1264.75
2019-11-13,1257.55
2019-11-14,1273.9
2019-11-15,1277.9
2019-11-18,1262.05